,numero_client,id_personne,id_coordonnee,nom,prenom,date_inscription,solde_client,npa,localite,rue,numero_rue,complement,adresse_mail,telephone,pays
393,193436,498684,365618,Jeannette,Bosshard,2024-02-18,7.43,Güggelhalde,7007,Eschen,369,,Jeannette.Bosshard@outlook.com,+41795515838,FRANCE
159,181149,418814,353330,Agnes,Mäder,2022-03-29,0.0,Wüerleweg,7010,Ruggell,602,,Agnes.Mäder@yahoo.com,+41839150528,FRANCE
43,148381,424964,353332,Sibylle,Stutz,2021-12-01,0.0,Betzibünt,7010,Ruggell,294,,Sibylle.Stutz@yahoo.com,+33539179974,FRANCE
778,144287,490503,373819,Larissa,Bernasconi,2021-05-22,0.0,Lettenbünt,7010,Ruggell,273,,Larissa.Bernasconi@yahoo.com,+41687649741,FRANCE
879,111528,441357,336958,Helene,Lanz,2022-06-24,1.38,Lettenstrasse,7010,Ruggell,456,,Helene.Lanz@yahoo.com,+41480449498,FRANCE
412,115630,488461,324679,Francesca,Walker,2021-04-08,0.0,Im Sand,7002,Triesen,851,,Francesca.Walker@outlook.com,+498336634859,FRANCE
620,144304,482325,388175,Sylvie,Brügger,2025-01-14,5.22,Spangelswesweg,7005,Schaan,553,,Sylvie.Brügger@yahoo.com,+41582280173,FRANCE
145,187319,498713,382036,Isabella,Meister,2024-08-28,0.0,Engistrasse,7004,Triesenberg,1025,,Isabella.Meister@gmail.com,+49566752238,FRANCE
722,160697,478240,384084,Mara,Aeschlimann,2022-03-18,0.0,Hagstrasse,7004,Triesenberg,259,,Mara.Aeschlimann@yahoo.com,+41308558843,FRANCE
647,144318,496678,361561,Christa,Steffen,2023-12-12,0.0,Undera Forst,7005,Schaan,169,,Christa.Steffen@outlook.com,+415276687358,FRANCE
659,134081,416837,394340,Veronika,Jenni,2021-05-11,0.0,Guet,7009,Gamprin,332,,Veronika.Jenni@yahoo.com,+41880651262,FRANCE
256,136131,410695,359525,Elsa,Eichenberger,2023-06-14,7.74,Egertastrasse,7001,Vaduz,617,,Elsa.Eichenberger@outlook.com,+41790318092,FRANCE
486,183238,443464,390245,Liliane,Grob,2023-05-09,0.0,Rätikonstrasse,7001,Vaduz,855,,Liliane.Grob@yahoo.com,+41146936846,FRANCE
634,185291,459851,388199,Marlise,Sigrist,2023-09-03,6.58,Ober Au,7009,Gamprin,995,,Marlise.Sigrist@outlook.com,+412615215123,FRANCE
640,197614,449612,337004,Milena,Blum,2022-05-02,0.0,Fürst-Johannes-Strasse,7001,Vaduz,672,,Milena.Blum@gmail.com,+41323687448,FRANCE
436,154617,427085,353394,Sylvia,Lopez,2024-03-07,0.0,Trachter,7002,Triesen,324,,Sylvia.Lopez@gmail.com,+41259103777,FRANCE
878,130044,422990,345202,Fiona,Ziegler,2023-10-12,5.87,Mattlaweg,7001,Vaduz,978,Bis,Fiona.Ziegler@yahoo.com,+41674329640,FRANCE
821,146431,449626,320627,Melissa,Tobler,2021-10-28,7.7,Gnalpstrasse,7004,Triesenberg,443,,Melissa.Tobler@gmail.com,+33978822186,FRANCE
800,191488,472160,322681,Michaela,Sieber,2023-10-16,6.27,Gässle,7002,Triesen,413,,Michaela.Sieber@yahoo.com,+49784471087,FRANCE
114,152581,496741,355449,Deborah,Kessler,2023-06-29,0.0,Neugasse,7001,Vaduz,642,,Deborah.Kessler@outlook.com,+416234973236,FRANCE
352,191495,476261,373889,Marta,Siegrist,2024-10-30,4.22,Im Duxer,7005,Schaan,819,Bis,Marta.Siegrist@yahoo.com,+41498115646,FRANCE
646,171015,441450,373893,Clara,Kuster,2023-01-16,5.78,Fürstenstrasse,7003,Balzers,319,Bis,Clara.Kuster@outlook.com,+41510571604,FRANCE
866,128013,472172,375942,Claudine,Bolliger,2021-04-06,0.0,Gantenstein,7011,Schellenberg,594,Bis,Claudine.Bolliger@yahoo.com,+41915508314,FRANCE
745,148493,441453,324746,Klara,de Sousa,2022-02-06,3.49,Täscherlochstrasse,7004,Triesenberg,824,Bis,Klara.de Sousa@yahoo.com,+41117836893,FRANCE
46,136216,420987,345227,Simona,Krebs,2023-01-13,0.0,Fingastrasse,7002,Triesen,817,Bis,Simona.Krebs@outlook.com,+41767476830,FRANCE
472,177178,461951,373898,Camille,Locher,2023-07-21,0.0,Meierhofstrasse,7001,Vaduz,725,,Camille.Locher@yahoo.com,+49550696029,FRANCE
301,140314,423041,347281,Victoria,Mendes,2024-04-21,3.22,Josef Rheinberger Strasse,7001,Vaduz,613,,Victoria.Mendes@gmail.com,+41749374577,FRANCE
523,115740,418965,337042,Jolanda,Schmutz,2024-01-06,0.0,Britschenstrasse,7008,Mauren,72,,Jolanda.Schmutz@gmail.com,+41981075060,FRANCE
671,199723,429208,380055,Florence,Graber,2021-10-16,0.0,Erbistrasse,7004,Triesenberg,27,,Florence.Graber@yahoo.com,+41246238330,FRANCE
343,142381,480417,326811,Margrith,Bischof,2024-04-27,4.91,Obereggastrasse,7004,Triesenberg,244,,Margrith.Bischof@outlook.com,+41201868411,FRANCE
494,173102,445618,326815,Adriana,Wicki,2023-09-03,0.0,Kohlbrunnen,7007,Eschen,324,,Adriana.Wicki@outlook.com,+41670938240,FRANCE
481,140337,441526,347305,Luisa,Mathys,2024-02-08,5.58,Guler,7008,Mauren,685,,Luisa.Mathys@yahoo.com,+41118359169,FRANCE
389,113713,433339,384175,Martine,Moreira,2024-10-10,0.0,Kriesebrogg,7011,Schellenberg,639,,Martine.Moreira@outlook.com,+41130264206,FRANCE
7,119863,478402,388282,Lydia,Probst,2022-03-12,6.21,Sugabüntweg,7010,Ruggell,1037,,Lydia.Probst@gmail.com,+41928810127,FRANCE
568,117821,429265,390341,Amélie,Hürlimann,2022-10-05,0.0,Schellenbergerstrasse,7008,Mauren,919,Bis,Amélie.Hürlimann@gmail.com,+41159055000,FRANCE
490,181311,447698,369864,Natalia,Benz,2023-02-27,0.0,Heitastrasse,7004,Triesenberg,940,,Natalia.Benz@outlook.com,+41429284509,FRANCE
628,199761,439507,339147,Chloé,Steinmann,2023-12-04,5.43,Waldteilstrasse,7007,Eschen,874,,Chloé.Steinmann@outlook.com,+41425899171,FRANCE
515,191570,462046,345300,Corina,Friedli,2023-06-15,8.0,Schulstrasse,7004,Triesenberg,197,,Corina.Friedli@yahoo.com,+41564442277,FRANCE
644,121943,425197,382168,Ida,Schütz,2025-03-01,0.0,Schulstrasse,7007,Eschen,523,,Ida.Schütz@outlook.com,+419574345910,FRANCE
559,117849,451822,339161,Maya,Bösch,2023-11-29,0.0,Chalberrütistrasse,7004,Triesenberg,440,,Maya.Bösch@yahoo.com,+49375880897,FRANCE
935,111719,423164,398554,Ingrid,Zwahlen,2024-10-16,10.93,Widengasse,7007,Eschen,701,,Ingrid.Zwahlen@gmail.com,+494460657871,FRANCE
320,152689,447742,345310,Evelyne,Carvalho,2025-01-19,5.27,Im Wäsle,7006,Planken,1004,,Evelyne.Carvalho@yahoo.com,+41253496530,FRANCE
782,150645,425223,365793,Carole,Osmani,2023-03-24,0.0,Rheinwiese,7005,Schaan,219,,Carole.Osmani@yahoo.com,+49664208602,FRANCE
366,199806,498952,351458,Lucie,Nussbaumer,2021-07-04,10.38,Zur Schule,7005,Schaan,204,,Lucie.Nussbaumer@gmail.com,+41274855135,FRANCE
221,185476,490764,314606,Mélanie,Braun,2025-02-11,6.3,Fabrikstrasse,7003,Balzers,650,,Mélanie.Braun@yahoo.com,+41428242160,FRANCE
386,185482,464140,333045,Sandrine,Walther,2024-08-13,0.0,Spidach,7010,Ruggell,873,,Sandrine.Walther@yahoo.com,+33838499580,FRANCE
467,197781,417043,324861,Laurence,Reber,2022-03-25,0.0,Birkenweg,7001,Vaduz,304,Bis,Laurence.Reber@outlook.com,+49523349260,FRANCE
750,154775,412948,349439,Léa,de Jesus,2021-05-19,0.0,Im Oberfeld,7001,Vaduz,21,Bis,Léa.de Jesus@outlook.com,+49887194894,FRANCE
931,152734,410903,349442,Mila,Correia,2023-04-01,0.0,Dorfstrasse,7006,Planken,765,,Mila.Correia@gmail.com,+41210681105,FRANCE
491,191651,412953,337157,Nelly,Perez,2024-05-06,0.0,Mühlesträssle,7003,Balzers,989,,Nelly.Perez@yahoo.com,+41534269204,FRANCE
155,140452,462117,324870,Ella,Stauffer,2023-02-08,0.0,Lachenstrasse,7008,Mauren,555,Bis,Ella.Stauffer@outlook.com,+41630619434,FRANCE
35,167075,435496,355591,Natalie,Hostettler,2022-09-19,0.0,Waldstrasse,7008,Mauren,642,,Natalie.Hostettler@outlook.com,+41497321259,FRANCE
61,171187,460078,314631,Kathrin,Mathis,2023-01-10,10.87,Nofler Strasse,7011,Schellenberg,580,,Kathrin.Mathis@outlook.com,+33799440177,FRANCE
313,158912,441647,328974,Katrin,Soares,2024-05-23,6.85,Hopmaswingert,7002,Triesen,730,,Katrin.Soares@outlook.com,+41187649329,FRANCE
85,126149,451888,351509,Antonia,Ott,2024-04-03,8.25,Burkatstrasse,7004,Triesenberg,559,,Antonia.Ott@gmail.com,+419287050549,FRANCE
276,124108,412983,347415,Danielle,Erni,2022-02-21,4.16,Budennaweg,7005,Schaan,195,,Danielle.Erni@gmail.com,+412928559424,FRANCE
726,171212,488763,347416,Zoé,König,2025-01-25,0.0,Sennwisstrasse,7004,Triesenberg,35,,Zoé.König@yahoo.com,+41766502216,FRANCE
826,154842,462147,372000,Béatrice,Schüpbach,2022-01-19,0.0,Winkelstrasse,7004,Triesenberg,96,,Béatrice.Schüpbach@yahoo.com,+33474033482,FRANCE
684,130280,472395,398626,Luzia,Haller,2024-01-15,0.0,Gänsenbach,7008,Mauren,334,,Luzia.Haller@outlook.com,+41254270795,FRANCE
182,156908,466252,345382,Melina,Niederberger,2023-12-08,0.0,Felbaweg,7001,Vaduz,263,,Melina.Niederberger@yahoo.com,+41444046673,FRANCE
363,191731,415053,398637,Sina,Almeida,2024-04-22,10.84,Fehragass,7009,Gamprin,965,,Sina.Almeida@outlook.com,+335726131540,FRANCE
305,169205,437582,355630,Alicia,Jäger,2022-04-02,0.0,Im Arg,7002,Triesen,558,,Alicia.Jäger@gmail.com,+41306875739,FRANCE
166,158979,429395,380209,Cécile,Ademi,2024-03-06,0.0,Toniäulestrasse,7001,Vaduz,284,Bis,Cécile.Ademi@yahoo.com,+41193842526,FRANCE
570,183557,464213,347442,Elina,Hänni,2023-04-24,0.0,Sückastrasse,7004,Triesenberg,910,Bis,Elina.Hänni@yahoo.com,+41112913758,FRANCE
201,191752,458076,372026,Gabriele,Ali,2022-04-29,5.88,In der Ballota,7005,Schaan,814,,Gabriele.Ali@yahoo.com,+334293285229,FRANCE
425,132363,484703,378171,Elin,Shabani,2023-03-28,0.0,Erikaweg,7001,Vaduz,877,,Elin.Shabani@outlook.com,+41200476016,FRANCE
524,115982,421215,365899,Ivana,Eugster,2022-09-22,7.23,Ober Betsche,7011,Schellenberg,615,,Ivana.Eugster@outlook.com,+415425890676,FRANCE
922,126240,417119,374095,Renata,Rochat,2024-11-25,1.03,Im Güetli,7001,Vaduz,686,,Renata.Rochat@gmail.com,+33285259128,FRANCE
717,154916,474469,318809,Samira,Willi,2021-10-31,4.94,Oberguferstrasse,7004,Triesenberg,798,Bis,Samira.Willi@yahoo.com,+41898971002,FRANCE
420,116004,486765,318812,Emily,Bürki,2024-01-29,2.91,Im Frommenhaus,7004,Triesenberg,685,,Emily.Bürki@yahoo.com,+41114611583,FRANCE
326,156966,454012,355685,Liselotte,Jäggi,2024-04-10,0.0,St. Luzistrasse,7001,Vaduz,279,,Liselotte.Jäggi@gmail.com,+49557057407,FRANCE
645,148772,411010,327016,Bianca,Iten,2022-10-10,0.0,Quadera,7003,Balzers,994,,Bianca.Iten@yahoo.com,+419862978955,FRANCE
732,142633,468358,363881,Irma,Walter,2023-11-04,0.0,Römerstrasse,7007,Eschen,739,,Irma.Walter@outlook.com,+41650429839,FRANCE
863,144696,478612,341362,Gisela,Bärtschi,2023-06-06,1.94,Werkhofstrasse,7002,Triesen,941,,Gisela.Bärtschi@gmail.com,+41431889808,FRANCE
208,146748,468376,333170,Valeria,Monteiro,2021-12-05,6.18,Büalstrasse,7004,Triesenberg,78,,Valeria.Monteiro@outlook.com,+33291149208,FRANCE
723,142653,499098,349559,Suzanne,Trachsel,2022-05-25,0.0,Altenbach,7001,Vaduz,609,,Suzanne.Trachsel@yahoo.com,+41314119577,FRANCE
77,165185,468383,380285,Alessandra,Gut,2021-09-06,4.74,Torkel,7002,Triesen,844,,Alessandra.Gut@gmail.com,+495283837342,FRANCE
836,130372,449975,363919,Teresa,Heiniger,2024-04-26,7.21,Gewerbeweg,7008,Mauren,302,,Teresa.Heiniger@outlook.com,+49234972574,FRANCE
691,183628,417220,325009,Kim,Aebi,2023-09-27,0.0,Wieshang,7008,Mauren,249,,Kim.Aebi@gmail.com,+41303445406,FRANCE
323,171343,423366,312723,Claire,Glauser,2021-03-27,11.22,Kappeleweg,7011,Schellenberg,991,,Claire.Glauser@outlook.com,+41784145826,FRANCE
572,163151,495052,388506,Elodie,Felder,2025-02-02,0.0,Britschenstrasse,7007,Eschen,699,,Elodie.Felder@gmail.com,+411760665015,FRANCE
609,124250,435661,370074,Joëlle,Bürgi,2022-01-14,4.68,Steinegerta,7005,Schaan,496,,Joëlle.Bürgi@gmail.com,+49619650489,FRANCE
387,132446,447955,318877,Gabriella,Schönenberger,2024-01-30,0.0,Thönysbünt,7001,Vaduz,654,,Gabriella.Schönenberger@gmail.com,+41218074557,FRANCE
49,136555,452064,361887,Silvana,Amstutz,2024-04-01,7.05,Loch,7011,Schellenberg,568,,Silvana.Amstutz@outlook.com,+41304719295,FRANCE
820,114028,493026,376243,Ines,Cardoso,2021-11-23,0.0,Rietsträssle,7005,Schaan,700,,Ines.Cardoso@yahoo.com,+494160800216,FRANCE
390,163193,437732,337337,Margaretha,Thalmann,2024-11-30,0.0,Letzanaweg,7002,Triesen,638,,Margaretha.Thalmann@gmail.com,+41901860824,FRANCE
274,142715,490991,392633,Paola,Emmenegger,2024-07-20,0.0,Heiligkreuz,7001,Vaduz,50,,Paola.Emmenegger@gmail.com,+41926420449,FRANCE
573,165255,495089,376266,Angelina,Achermann,2022-01-10,0.0,Schlossweg,7003,Balzers,878,,Angelina.Achermann@yahoo.com,+33729591268,FRANCE
475,132491,452084,355787,Pascale,Merz,2024-03-18,0.0,In den Äusseren,7006,Planken,630,,Pascale.Merz@outlook.com,+41381545957,FRANCE
563,157071,468470,370128,Sabina,Ryser,2024-09-11,0.0,Matteltiwaldstrasse,7004,Triesenberg,547,,Sabina.Ryser@yahoo.com,+417126191590,FRANCE
71,175529,435704,370130,Mathilde,Ferrari,2023-08-26,0.0,Bahnstrasse,7005,Schaan,65,,Mathilde.Ferrari@yahoo.com,+33791516647,FRANCE
477,181680,488958,314838,Tina,Mettler,2023-07-28,0.0,Kemmisbüntweg,7010,Ruggell,72,,Tina.Mettler@gmail.com,+41746042861,FRANCE
715,198071,466453,347607,Irina,Bader,2025-03-04,0.0,Floraweg,7001,Vaduz,311,,Irina.Bader@outlook.com,+493910991343,FRANCE
462,185784,448022,351721,Cindy,Jakob,2024-12-09,10.21,Im Pardiel,7005,Schaan,639,,Cindy.Jakob@yahoo.com,+49326186481,FRANCE
528,171449,478752,347629,Josiane,Winkler,2021-09-06,0.0,Im Mühleholz,7001,Vaduz,756,,Josiane.Winkler@yahoo.com,+415210496500,FRANCE
434,118200,443938,314878,Marisa,Schaub,2023-11-03,0.0,Peter-Kaiser-Platz,7001,Vaduz,363,,Marisa.Schaub@outlook.com,+49585293303,FRANCE
237,122304,427556,396804,Hildegard,Vieira,2023-04-03,8.41,Neudorfstrasse,7004,Triesenberg,328,,Hildegard.Vieira@gmail.com,+41649489913,FRANCE
827,118210,476714,343556,Tatiana,Wirth,2022-01-07,11.15,Felbenweg,7008,Mauren,887,,Tatiana.Wirth@outlook.com,+49785214974,FRANCE
799,189892,474684,355861,Joana,Zeller,2022-03-22,11.17,Schützenplatz,7007,Eschen,1015,,Joana.Zeller@yahoo.com,+41259419647,FRANCE
428,118213,460350,319000,Marianna,Flury,2023-04-22,0.0,Fallagass,7010,Ruggell,878,,Marianna.Flury@gmail.com,+41166342148,FRANCE
574,138696,482878,378409,Jeannine,Herrmann,2022-04-05,0.0,Spiegelstrasse,7010,Ruggell,418,Bis,Jeannine.Herrmann@yahoo.com,+416381045284,FRANCE
422,159192,441927,398895,Aurora,Leu,2023-06-29,7.99,Herrenwingert,7008,Mauren,497,,Aurora.Leu@yahoo.com,+41865097257,FRANCE
667,118237,450128,341563,Flavia,Wehrli,2024-08-02,5.84,Selemad,7009,Gamprin,414,,Flavia.Wehrli@outlook.com,+41189414964,FRANCE
331,136673,431699,396859,Pauline,Birrer,2022-09-25,0.0,Prafatell,7003,Balzers,441,Bis,Pauline.Birrer@yahoo.com,+41836032057,FRANCE
743,173552,460373,345668,Kristina,Pittet,2025-03-19,0.0,Lochgass,7001,Vaduz,75,,Kristina.Pittet@gmail.com,+49793566780,FRANCE
497,114173,493143,368205,Carolina,Richard,2024-10-24,7.02,Säss,7003,Balzers,242,Bis,Carolina.Richard@gmail.com,+41651368012,FRANCE
75,161279,487002,331354,Elvira,Lötscher,2023-01-20,5.64,Im Steinort,7004,Triesenberg,842,,Elvira.Lötscher@gmail.com,+419743646284,FRANCE
857,130566,415327,376415,Amanda,Hirschi,2022-08-11,0.0,Sportplatzstrasse,7004,Triesenberg,740,,Amanda.Hirschi@gmail.com,+41365389390,FRANCE
768,140812,487009,390770,Seraina,Ritter,2022-10-23,2.0,Iradug,7003,Balzers,237,,Seraina.Ritter@gmail.com,+49741178958,FRANCE
656,146966,417379,327287,Angelika,Wirz,2023-04-30,0.0,Ober Ställ,7006,Planken,219,,Angelika.Wirz@outlook.com,+416991132240,FRANCE
688,144924,491110,388730,Thi,Knecht,2021-05-13,0.0,Im Rietacker,7005,Schaan,439,Bis,Thi.Knecht@yahoo.com,+41191467094,FRANCE
284,194082,474737,378496,Rachel,Schlegel,2024-01-29,7.68,Gapetschstrasse,7005,Schaan,680,,Rachel.Schlegel@gmail.com,+49673289822,FRANCE
632,185902,423542,362125,Lynn,Mohamed,2025-01-27,0.0,Eggasweg,7001,Vaduz,593,,Lynn.Mohamed@gmail.com,+41783236713,FRANCE
89,190006,411263,341645,Aurélie,Zemp,2024-04-29,3.46,Malbunstrasse,7004,Triesenberg,112,,Aurélie.Zemp@yahoo.com,+41993097321,FRANCE
113,136763,450181,325269,Tania,Germann,2021-04-30,0.0,Parganta,7002,Triesen,360,,Tania.Germann@outlook.com,+41736632427,FRANCE
618,153148,435848,355995,Marija,Sanchez,2024-04-16,0.0,Krummenacker,7008,Mauren,722,,Marija.Sanchez@yahoo.com,+41136820332,FRANCE
442,159292,439947,337564,Annette,Walser,2023-02-27,0.0,Duxweg,7005,Schaan,471,,Annette.Walser@yahoo.com,+49821708393,FRANCE
178,177736,482961,349852,Liliana,Balmer,2021-09-26,3.3,Bühelstrasse,7004,Triesenberg,827,,Liliana.Balmer@yahoo.com,+498770537077,FRANCE
703,179794,497301,337566,Manon,Landolt,2024-12-19,0.0,Under Wesa,7010,Ruggell,486,,Manon.Landolt@outlook.com,+41675659384,FRANCE
601,171602,499352,351905,Louise,Brand,2023-08-04,0.0,Valünastrasse,7004,Triesenberg,650,,Louise.Brand@outlook.com,+41539424380,FRANCE
375,187989,454296,341665,Hélène,Wälti,2022-04-23,0.0,Försterweg,7001,Vaduz,793,,Hélène.Wälti@gmail.com,+419350915710,FRANCE
135,124520,423582,331429,Noémie,Eberle,2024-02-27,0.0,Grasgarten,7007,Eschen,458,Bis,Noémie.Eberle@outlook.com,+41459179650,FRANCE
341,122473,462499,319143,Anaïs,Gfeller,2023-04-18,0.0,Bönerstrasse,7008,Mauren,899,,Anaïs.Gfeller@outlook.com,+41867393166,FRANCE
548,192107,493225,396970,Ariane,Zingg,2024-07-17,0.0,Im Kellersfeld,7010,Ruggell,651,,Ariane.Zingg@yahoo.com,+41992790160,FRANCE
42,177774,497323,341677,Natascha,Schoch,2023-02-21,0.0,Bodastrasse,7004,Triesenberg,877,,Natascha.Schoch@outlook.com,+33257724050,FRANCE
258,181893,464555,396979,Salome,Stadler,2024-12-13,3.07,Fabrikenweg,7008,Mauren,15,,Salome.Stadler@gmail.com,+41335810195,FRANCE
345,167561,485044,396981,Fatima,Bigler,2024-02-27,4.06,Runkels,7002,Triesen,970,,Fatima.Bigler@gmail.com,+416579289749,FRANCE
933,157322,497341,380608,Muriel,Wild,2024-11-10,0.0,Rotenbodenstrasse,7004,Triesenberg,334,,Muriel.Wild@outlook.com,+41976795287,FRANCE
244,136841,468671,384716,Dorothea,Iseli,2025-01-28,0.0,Parmezgstrasse,7004,Triesenberg,920,,Dorothea.Iseli@outlook.com,+49330374819,FRANCE
880,173721,437955,362205,Erna,Blanc,2024-01-31,0.0,Am Schrägen Weg,7001,Vaduz,449,,Erna.Blanc@yahoo.com,+41129119913,FRANCE
696,192159,456395,384734,Ladina,Kern,2022-01-31,0.0,Obere Au,7002,Triesen,259,,Ladina.Kern@gmail.com,+49580472490,FRANCE
914,198303,499404,356064,Sarina,Gross,2022-12-23,0.0,Zuschggasse,7007,Eschen,691,,Sarina.Gross@gmail.com,+41706285238,FRANCE
265,181919,493263,347876,Stella,Forster,2023-11-09,0.0,Donatsweg,7003,Balzers,493,,Stella.Forster@outlook.com,+41966598326,FRANCE
399,143008,489169,392932,Debora,Etter,2021-04-10,0.0,Pflugstrasse,7001,Vaduz,410,,Debora.Etter@outlook.com,+41427937468,FRANCE
932,194213,419540,356070,Fanny,Frischknecht,2022-09-03,2.29,Sägastrasse,7002,Triesen,40,,Fanny.Frischknecht@gmail.com,+49633054915,FRANCE
391,124583,485077,313065,Giovanna,Messerli,2022-12-16,0.0,Bangarten,7001,Vaduz,354,Bis,Giovanna.Messerli@yahoo.com,+41628405963,FRANCE
598,173745,454361,325354,Anouk,Kastrati,2022-03-25,9.26,Bargällastrasse,7004,Triesenberg,696,Bis,Anouk.Kastrati@yahoo.com,+413464412876,FRANCE
473,192178,411364,362217,Jelena,Russo,2023-03-18,0.0,Abtswingertweg,7001,Vaduz,960,Bis,Jelena.Russo@yahoo.com,+41933349069,FRANCE
767,173749,458476,339693,Ronja,Bianchi,2021-06-14,0.0,Feldstrasse,7001,Vaduz,792,,Ronja.Bianchi@outlook.com,+41379072231,FRANCE
328,130744,411372,317170,Yara,Jovanovic,2022-10-29,0.0,Fabrikwegli,7002,Triesen,181,,Yara.Jovanovic@outlook.com,+41964663020,FRANCE
547,186046,470765,368374,Jasmine,Grossenbacher,2022-03-08,7.11,Speckemahd,7008,Mauren,884,,Jasmine.Grossenbacher@yahoo.com,+41133631728,FRANCE
225,134847,423665,362231,Amina,Bauer,2024-02-01,0.0,Herrengasse,7001,Vaduz,227,,Amina.Bauer@yahoo.com,+41610887411,FRANCE
569,136903,476916,386815,Naomi,Sidler,2024-07-25,0.0,Schwarz Strässle,7005,Schaan,522,,Naomi.Sidler@outlook.com,+41596989684,FRANCE
685,120553,478968,356096,Mireille,Krähenbühl,2022-07-12,9.42,Krist,7007,Eschen,129,,Mireille.Krähenbühl@yahoo.com,+41219920117,FRANCE
5,169706,495353,360197,Katia,Allemann,2022-04-15,4.3,Am Nendlerweg,7006,Planken,149,,Katia.Allemann@yahoo.com,+33676103948,FRANCE
852,165616,427770,339719,Jenny,Stähli,2023-09-13,5.87,Blumenau,7002,Triesen,897,,Jenny.Stähli@outlook.com,+41895915791,FRANCE
115,110329,413444,319249,Viviane,Dietrich,2022-05-07,0.0,Obergass,7003,Balzers,770,,Viviane.Dietrich@outlook.com,+33935196435,FRANCE
650,198393,442122,349977,Hannah,Thoma,2024-02-06,0.0,Wangerbergstrasse,7004,Triesenberg,3,,Hannah.Thoma@yahoo.com,+41544433946,FRANCE
751,145147,450314,390941,Aleksandra,Tschanz,2024-04-15,11.19,Obere Hub,7007,Eschen,932,,Aleksandra.Tschanz@outlook.com,+41728852255,FRANCE
455,122631,476941,347936,Francine,Gehrig,2025-01-02,0.0,Garnrechte,7003,Balzers,795,,Francine.Gehrig@gmail.com,+41176756512,FRANCE
575,159495,497423,341800,Frieda,Petrovic,2024-07-05,7.27,Lettgräbli,7001,Vaduz,163,,Frieda.Petrovic@outlook.com,+41581371683,FRANCE
137,153354,442129,378674,Zoe,Simon,2024-01-09,0.0,Valorschstrasse,7005,Schaan,298,,Zoe.Simon@yahoo.com,+49727629605,FRANCE
376,163602,497426,319294,Stefania,Brun,2024-08-21,10.54,Hasenweg,7001,Vaduz,479,,Stefania.Brun@gmail.com,+41939501361,FRANCE
907,116507,442134,333631,Laetitia,Fehr,2022-10-20,4.44,Gemeindegarten,7007,Eschen,588,,Laetitia.Fehr@gmail.com,+418909352754,FRANCE
672,155421,464663,343873,Marlene,de Almeida,2022-12-05,10.85,Hüschistrasse,7004,Triesenberg,849,,Marlene.de Almeida@yahoo.com,+41117325619,FRANCE
54,155422,452382,335686,Jeanne,Geiser,2022-08-15,9.99,Falgedingass,7010,Ruggell,1055,,Jeanne.Geiser@yahoo.com,+41798273332,FRANCE
737,173865,474913,329553,Audrey,Rexhepi,2022-01-14,0.0,Eichengasse,7001,Vaduz,631,,Audrey.Rexhepi@gmail.com,+416250581834,FRANCE
607,116536,433955,354136,Anne-Marie,Manser,2024-09-09,0.0,Stachler,7005,Schaan,970,,Anne-Marie.Manser@outlook.com,+33898934616,FRANCE
633,182074,485165,323423,Antoinette,Rieder,2022-10-17,6.4,Letziweg,7001,Vaduz,169,,Antoinette.Rieder@yahoo.com,+416205804380,FRANCE
484,177980,425775,335718,Mariana,Bär,2022-07-15,0.0,Im Rösle,7005,Schaan,163,,Mariana.Bär@gmail.com,+41334653293,FRANCE
910,182085,427839,374633,Leila,Ernst,2023-01-17,0.0,Brüelweg,7003,Balzers,567,,Leila.Ernst@outlook.com,+41217757550,FRANCE
830,116553,436034,362347,Samantha,Roos,2024-10-13,0.0,Gampelutzstrasse,7008,Mauren,995,,Samantha.Roos@gmail.com,+415224523634,FRANCE
535,165708,466759,393071,Luna,Waser,2024-08-07,5.03,Grashalda,7003,Balzers,478,,Luna.Waser@outlook.com,+41478109554,FRANCE
439,114509,497486,350066,Amelia,Beyeler,2024-11-15,0.0,Rheinau,7002,Triesen,962,,Amelia.Beyeler@gmail.com,+419831495541,FRANCE
149,128846,462673,354165,Helen,Blatter,2021-06-20,6.55,Rosenweg,7007,Eschen,921,,Helen.Blatter@gmail.com,+41211052405,FRANCE
861,124754,440145,341879,Lilian,Ahmed,2023-07-15,0.0,Buchenstein,7010,Ruggell,150,,Lilian.Ahmed@gmail.com,+49306634622,FRANCE
757,163675,456537,345975,Luca,Hodel,2023-07-31,2.21,Grosssteg,7004,Triesenberg,157,,Luca.Hodel@outlook.com,+41868341630,FRANCE
787,114526,425822,345980,Jean,Burkhalter,2021-06-18,8.58,Schlossweg,7011,Schellenberg,135,,Jean.Burkhalter@gmail.com,+49202407832,FRANCE
361,153468,411488,364414,Jan,Mosimann,2022-01-23,5.35,Haberacherstrasse,7004,Triesenberg,700,,Jan.Mosimann@outlook.com,+41762240924,FRANCE
130,128897,423782,333702,Noah,Hoti,2022-11-17,0.0,Streue,7003,Balzers,926,Bis,Noah.Hoti@yahoo.com,+41906114975,FRANCE
602,155523,415594,372615,Robin,Mustafa,2024-09-03,0.0,Fallsbretscha,7009,Gamprin,531,,Robin.Mustafa@outlook.com,+41847314858,FRANCE
164,135049,436074,315274,Andrea,Rossier,2022-08-14,0.0,Schmedgässle,7005,Schaan,252,,Andrea.Rossier@gmail.com,+41335050667,FRANCE
